frame,timestamp,hip_angle,knee_angle,elbow_angle
361,11.9974,179.9738,178.8852,178.8885
362,12.0307,178.5709,178.0532,179.3187
363,12.064,178.8004,178.2514,178.7509
364,12.0974,179.5027,179.5552,179.214
365,12.1307,178.7232,178.6425,179.2567
366,12.164,175.6282,176.5572,179.2983
367,12.1973,172.9139,174.8546,179.6037
368,12.2307,168.6884,173.6163,179.4552
369,12.264,163.6155,170.7879,179.5183
370,12.2973,156.9983,165.8821,179.6747
371,12.3306,146.2112,152.7948,179.0123
372,12.364,135.5371,136.4147,179.1004
373,12.3973,125.4514,121.9816,177.9534
374,12.4306,114.2193,110.7495,177.8479
375,12.4639,103.9604,101.0739,176.9302
376,12.4973,92.8478,90.2112,175.9272
377,12.5306,81.3453,81.0573,175.9581
378,12.5639,71.1084,72.7375,177.2092
379,12.5973,62.9589,66.6709,175.8043
380,12.6306,54.9262,60.9306,177.2661
381,12.6639,46.5058,51.9961,175.0283
382,12.6972,37.4674,46.3821,161.7783
383,12.7306,34.1938,42.4391,171.3377
384,12.7639,33.011,39.8569,172.5253
385,12.7972,30.3739,35.2894,169.0985
386,12.8305,28.3078,34.6783,161.2023
387,12.8639,28.0897,33.9619,162.2749
388,12.8972,28.3209,34.9163,168.3581
389,12.9305,28.3291,36.6819,169.4013
390,12.9638,28.8893,38.9094,170.1476
391,12.9972,28.7429,42.047,178.4799
392,13.0305,33.0452,51.3119,178.7792
393,13.0638,37.4707,55.8513,178.9481
394,13.0971,41.5558,60.4724,178.7995
395,13.1305,43.8549,62.6092,179.9784
396,13.1638,49.5397,67.2945,179.4874
397,13.1971,56.4675,74.7431,177.3971
398,13.2304,64.8895,83.878,175.6069
399,13.2638,71.6931,88.7359,174.7895
400,13.2971,82.9119,96.496,175.0924
401,13.3304,93.3801,105.7885,176.3749
402,13.3638,103.467,116.756,175.4673
403,13.3971,115.2578,125.6552,175.2767
404,13.4304,125.4701,134.1821,177.4595
405,13.4637,137.0642,146.6071,178.7066
406,13.4971,149.3315,162.5363,179.8952
407,13.5304,156.1094,167.1258,178.8588
408,13.5637,162.5478,173.96,179.0735
409,13.597,167.0901,177.6912,179.0411
410,13.6304,169.1131,178.8263,179.4032
411,13.6637,171.1002,178.3904,179.4456
412,13.697,173.3018,179.2846,178.8626
413,13.7303,173.2839,177.6281,179.4493
414,13.7637,171.875,175.4028,179.5928
415,13.797,169.8464,172.766,179.8993
416,13.8303,166.4133,166.368,179.8404
417,13.8636,160.8203,157.2406,179.8959
418,13.897,153.9312,149.3893,179.8395
419,13.9303,144.5498,138.2144,178.0786
420,13.9636,134.0493,125.6901,177.5758
421,13.9969,123.0227,113.4356,177.7241
422,14.0303,107.6972,102.4986,178.5954
423,14.0636,91.5201,89.3305,178.9027
424,14.0969,80.5629,78.6725,178.3569
425,14.1303,70.3679,68.8796,178.3803
426,14.1636,63.3932,65.9781,178.1399
427,14.1969,56.0645,58.7583,179.461
428,14.2302,47.9728,50.2299,178.5256
429,14.2636,41.595,44.0948,179.0604
430,14.2969,37.2107,39.9737,179.6141
431,14.3302,34.949,36.5295,177.841
432,14.3635,33.2468,34.1167,176.4515
433,14.3969,31.8437,34.3238,176.8112
434,14.4302,32.5633,35.2576,178.8217
435,14.4635,33.2696,37.2202,179.4565
436,14.4968,32.9869,39.6786,179.4831
437,14.5302,32.8046,45.085,175.1939
438,14.5635,34.5952,53.2387,177.4175
439,14.5968,38.026,60.0952,176.8935
440,14.6301,42.0892,66.2327,179.0964
441,14.6635,44.4664,71.0741,178.1165
442,14.6968,47.5824,76.3631,178.2643
443,14.7301,52.3527,84.7512,178.6672
444,14.7634,56.4732,91.7918,179.3476
446,14.8301,70.6858,102.5397,177.8211
447,14.8634,73.5646,105.8542,177.0275
448,14.8968,82.6612,113.1055,177.1659
449,14.9301,93.6335,117.6365,175.8116
450,14.9634,109.49,129.8515,175.8589
451,14.9967,123.1849,144.2514,177.3982
452,15.0301,138.6254,160.5564,178.4015
453,15.0634,147.3429,165.4744,179.6822
454,15.0967,155.5256,172.1219,178.4046
455,15.13,161.158,173.6216,179.3513
456,15.1634,164.0081,174.5076,179.8359
457,15.1967,165.245,174.0753,179.8767
458,15.23,167.8939,174.9759,179.469
459,15.2633,169.6309,175.2136,179.8214
460,15.2967,170.096,174.9702,179.1971
461,15.33,168.8432,174.3604,179.3222
462,15.3633,167.1915,173.783,179.8832
463,15.3966,165.4708,172.6104,179.9051
